budget,revenue,original_title,tmdb_votes,tmdb_rating,release_year,imdb_rating,imdb_votes,genres,runtime,rating_combined,budget_adj_2024,revenue_adj_2024,roi,profit_margin,on_netflix,on_hulu,on_disney,on_amazon,on_streaming,streaming_platforms
13000000.0,32848185.0,Eye in the Sky,265,7.2,2015,7.3,95179.0,"('Drama', 'War', 'Action', 'Thriller')",102.0,7.25,17206918.09,43478156.04,152.67834607330312,60.423992972080974,False,True,False,False,True,1
25000000.0,42972994.0,Legend,619,6.7,2015,6.9,219796.0,"('Drama', 'Biography', 'Crime', 'Thriller')",131.0,6.800000000000001,33090227.09,56879445.2,71.89197597616125,41.823927829028825,True,False,False,False,True,1
,45895.0,Beyond the Reach,81,5.5,2015,5.6,11609.0,"('Adventure', 'Action', 'Thriller')",95.0,5.55,,60747.04,,,False,False,False,False,False,0
150000000.0,128388320.0,Pan,586,5.9,2015,5.7,69045.0,"('Family', 'Comedy', 'Adventure', 'Action', 'Fantasy')",111.0,5.800000000000001,198541362.52,169935946.56,-14.407786668190337,-16.833057713248547,False,True,False,False,True,1
,,Mythica: The Darkspore,27,5.1,2015,5.2,4085.0,"('Adventure', 'Action', 'Fantasy')",108.0,5.15,,,,,False,False,False,False,False,0
,,Me and Earl and the Dying Girl,569,7.7,2015,7.7,143593.0,"('Drama', 'Comedy')",105.0,7.7,,,,,False,False,False,False,False,0
99000000.0,246233113.0,The Peanuts Movie,414,6.4,2015,7.0,52555.0,"('Comedy', 'Adventure', 'Animation', 'Family')",88.0,6.7,131037299.26,325916385.02,148.72031616992285,59.794197136802794,False,False,True,False,True,1
35000000.0,48623572.0,Concussion,500,6.9,2015,7.1,104030.0,"('Drama', 'Biography', 'Sport')",123.0,7.0,46326317.92,64358601.57,38.92449143301134,28.01845162901354,False,False,False,False,False,0
25000000.0,52395996.0,The Night Before,363,6.1,2015,6.4,88169.0,"('Comedy', 'Fantasy')",100.0,6.25,33090227.09,69351816.24,109.58398397017466,52.286430429612054,False,False,False,False,False,0
2500000.0,5214043.0,Knock Knock,473,4.8,2015,4.9,113411.0,"('Drama', 'Horror', 'Crime', 'Thriller')",99.0,4.85,3309022.71,6901354.68,108.56172002518531,52.05256267165217,True,False,False,False,True,1
34000000.0,63013281.0,The Longest Ride,711,7.3,2015,7.0,93408.0,"('Drama', 'Romance')",128.0,7.15,45002708.84,83404951.11,85.33317940156242,46.0431206528166,False,False,False,False,False,0
80000000.0,466183544.0,Hotel Transylvania 2,919,6.8,2015,6.6,158129.0,"('Comedy', 'Adventure', 'Animation', 'Family')",89.0,6.699999999999999,105888726.68,617044773.4,482.72942998430244,82.83937710118849,False,False,False,False,False,0
17000000.0,24000000.0,Love the Coopers,111,5.3,2015,5.8,28756.0,"('Comedy', 'Romance', 'Family', 'Fantasy')",107.0,5.55,22501354.42,31766618.0,41.17647056732151,29.16666665617347,False,False,False,False,False,0
35000000.0,61181942.0,The Walk,706,6.8,2015,7.3,140435.0,"('Drama', 'Adventure', 'Biography', 'Thriller')",123.0,7.05,46326317.92,80980974.18,74.80554858653873,42.79357788777838,False,False,False,False,False,0
11000000.0,1863315.0,Tracers,326,5.9,2015,5.6,20644.0,"('Drama', 'Action', 'Crime')",94.0,5.75,14559699.92,2466300.66,-83.06077272504666,-490.3457009981905,True,False,False,True,True,2
31000000.0,104384188.0,Vacation,846,6.1,2015,6.2,130107.0,"('Comedy', 'Adventure')",99.0,6.15,41031881.59,138163859.41,236.72318708307128,70.3020154726293,False,False,False,False,False,0
35000000.0,95437994.0,Poltergeist,589,5.0,2015,4.9,64089.0,"('Fantasy', 'Horror', 'Thriller')",93.0,4.95,46326317.92,126322595.77,172.67998287311323,63.3269743725438,False,False,False,False,False,0
4000000.0,187112.0,Maggie,384,5.1,2015,5.6,48457.0,"('Drama', 'Science Fiction', 'Horror')",95.0,5.35,5294436.33,247663.14,-95.3222000499532,-2037.7570881157365,False,False,False,False,False,0
,2000000.0,Equals,135,5.6,2015,6.0,34197.0,"('Drama', 'Science Fiction', 'Romance')",101.0,5.8,,2647218.17,,,True,False,False,False,True,1
